学校名,集計年,児童数,内特別支援学級児童数,学級数,内特別支援学級数,学校番号,学校種別,行政区
殿町小学校,1973,1127,9,29,1,1,小学校,川崎区
殿町小学校,1974,1177,8,29,1,1,小学校,川崎区
殿町小学校,1975,1119,9,29,1,1,小学校,川崎区
殿町小学校,1976,1089,6,28,1,1,小学校,川崎区
殿町小学校,1977,1024,4,26,1,1,小学校,川崎区
殿町小学校,1978,989,4,26,1,1,小学校,川崎区
殿町小学校,1979,986,4,26,1,1,小学校,川崎区
殿町小学校,1980,930,5,25,1,1,小学校,川崎区
殿町小学校,1981,922,5,25,1,1,小学校,川崎区
殿町小学校,1982,910,2,25,1,1,小学校,川崎区
殿町小学校,1983,855,1,23,1,1,小学校,川崎区
殿町小学校,1984,795,2,22,1,1,小学校,川崎区
殿町小学校,1985,736,2,21,1,1,小学校,川崎区
殿町小学校,1986,721,3,21,1,1,小学校,川崎区
殿町小学校,1987,646,4,19,1,1,小学校,川崎区
殿町小学校,1988,591,3,19,1,1,小学校,川崎区
殿町小学校,1989,555,3,19,1,1,小学校,川崎区
殿町小学校,1990,531,2,18,1,1,小学校,川崎区
殿町小学校,1991,489,3,17,1,1,小学校,川崎区
殿町小学校,1992,464,3,14,1,1,小学校,川崎区
殿町小学校,1993,467,4,14,1,1,小学校,川崎区
殿町小学校,1994,463,2,14,1,1,小学校,川崎区
殿町小学校,1995,430,2,14,1,1,小学校,川崎区
殿町小学校,1996,419,2,15,2,1,小学校,川崎区
殿町小学校,1997,412,2,14,2,1,小学校,川崎区
殿町小学校,1998,415,3,14,2,1,小学校,川崎区
殿町小学校,1999,414,4,15,3,1,小学校,川崎区
殿町小学校,2000,419,3,15,3,1,小学校,川崎区
殿町小学校,2001,435,3,16,3,1,小学校,川崎区
殿町小学校,2002,454,4,18,3,1,小学校,川崎区
殿町小学校,2003,522,3,18,2,1,小学校,川崎区
殿町小学校,2004,541,2,19,2,1,小学校,川崎区
殿町小学校,2005,553,3,20,2,1,小学校,川崎区
殿町小学校,2006,582,3,20,2,1,小学校,川崎区
殿町小学校,2007,594,4,21,2,1,小学校,川崎区
殿町小学校,2008,631,2,21,2,1,小学校,川崎区
殿町小学校,2009,627,4,20,2,1,小学校,川崎区
殿町小学校,2010,648,4,21,2,1,小学校,川崎区
殿町小学校,2011,663,8,22,2,1,小学校,川崎区
殿町小学校,2012,659,7,22,2,1,小学校,川崎区
殿町小学校,2013,647,12,23,3,1,小学校,川崎区
殿町小学校,2014,617,12,22,3,1,小学校,川崎区
殿町小学校,2015,599,15,22,3,1,小学校,川崎区
殿町小学校,2016,575,13,21,3,1,小学校,川崎区
殿町小学校,2017,538,16,20,3,1,小学校,川崎区
殿町小学校,2018,511,15,19,3,1,小学校,川崎区
殿町小学校,2019,461,15,18,3,1,小学校,川崎区
殿町小学校,2020,410,12,17,3,1,小学校,川崎区
四谷小学校,1973,749,-,19,-,2,小学校,川崎区
四谷小学校,1974,780,-,20,-,2,小学校,川崎区
